Date,Category,Amount,Payment Method
2024-07-06,Rent,951,Cash
2024-05-03,Bills,1787,Cash
2024-02-10,Rent,2031,UPI
2024-06-05,Shopping,3846,Cash
2024-01-15,Rent,2527,Card
2024-02-14,Food,1668,Cash
2024-03-05,Shopping,4100,Card
2024-03-29,Food,2838,UPI
2024-03-11,Entertainment,3598,Cash
2024-01-09,Travel,4013,UPI
2024-03-28,Rent,1166,Cash
2024-05-08,Travel,4480,Card
2024-05-15,Travel,2544,UPI
2024-03-03,Rent,4207,Cash
2024-05-18,Shopping,3473,Card
2024-03-21,Entertainment,4069,UPI
2024-05-15,Food,2646,UPI
2024-06-11,Bills,853,Cash
2024-06-11,Food,2182,Cash
2024-02-02,Bills,2874,Cash
2024-05-02,Food,2996,Card
2024-01-05,Rent,4285,Cash
2024-02-10,Entertainment,875,UPI
2024-01-28,Bills,1725,UPI
2024-05-14,Shopping,3169,Cash
2024-03-12,Food,517,Cash
2024-01-12,Food,214,UPI
2024-06-10,Bills,716,Card
2024-02-02,Shopping,4074,Cash
2024-02-17,Shopping,3367,Cash
2024-05-30,Rent,925,UPI
2024-03-02,Rent,1616,Cash
2024-02-06,Rent,3246,Card
2024-04-08,Rent,512,UPI
2024-06-20,Rent,828,Cash
2024-04-13,Rent,3448,UPI
2024-02-04,Entertainment,2908,Cash
2024-07-11,Shopping,775,Cash
2024-04-10,Rent,3565,Cash
2024-06-23,Shopping,2604,Card
2024-05-10,Shopping,3067,Card
2024-01-01,Travel,2886,UPI
2024-01-05,Entertainment,1222,Cash
2024-05-21,Rent,4179,Cash
2024-04-12,Food,1671,Card
2024-01-27,Bills,2243,Cash
2024-05-16,Food,1787,Card
2024-01-15,Entertainment,4232,Cash
2024-03-30,Bills,3951,UPI
2024-02-11,Entertainment,3540,Cash
2024-05-03,Shopping,3866,Cash
2024-06-27,Bills,2426,Card
2024-03-03,Shopping,3014,Cash
2024-04-05,Food,4052,Cash
2024-02-21,Food,695,Card
2024-04-05,Bills,828,UPI
2024-05-11,Bills,1465,UPI
2024-05-30,Rent,4592,Card
2024-05-22,Entertainment,798,Card
2024-06-19,Rent,495,Card
2024-01-29,Entertainment,4271,Card
2024-02-05,Rent,4460,Card
2024-01-13,Shopping,2602,UPI
2024-06-08,Bills,1919,UPI
2024-03-11,Food,817,Card
2024-07-05,Entertainment,2882,Cash
2024-03-26,Entertainment,3677,Card
2024-01-28,Food,243,Cash
2024-03-06,Rent,3240,Card
2024-06-18,Entertainment,4591,Card
2024-02-14,Shopping,3038,UPI
2024-03-02,Bills,3736,Cash
2024-07-03,Food,3322,Cash
2024-05-13,Bills,1267,UPI
2024-01-28,Entertainment,2716,UPI
2024-01-28,Entertainment,1162,UPI
2024-04-17,Food,2256,UPI
2024-02-13,Shopping,3082,Cash
2024-03-24,Travel,3394,Cash
2024-01-30,Food,4829,Card
2024-07-08,Travel,1256,Card
2024-03-15,Rent,832,UPI
2024-05-07,Travel,4430,UPI
2024-04-01,Shopping,4946,UPI
2024-07-08,Rent,1053,Card
2024-05-08,Travel,2639,Card
2024-04-30,Rent,3424,Card
2024-01-27,Travel,3401,Card
2024-07-08,Shopping,1642,Card
2024-04-30,Travel,1291,Card
2024-04-25,Travel,3093,Card
2024-01-03,Travel,2781,UPI
2024-04-12,Food,1317,UPI
2024-07-16,Food,1640,UPI
2024-07-18,Food,3336,UPI
2024-06-03,Shopping,2486,Card
2024-05-16,Rent,3819,Cash
2024-03-02,Entertainment,1488,Card
2024-06-13,Travel,1956,Cash
2024-02-20,Travel,1465,UPI
2024-06-20,Shopping,599,Card
2024-05-31,Travel,1780,UPI
2024-02-28,Food,610,Card
2024-04-27,Entertainment,4412,UPI
